"Date","Author","Verified","Helpful","Title","Body","Rating","Images","Videos","URL","Variation","Style"
"Reviewed in the United States on October 31, 2020","Natalie N.","yes","-","Horrible","I keep having to reset it, right it's not even hooked up, because it wouldn't allow me to install it to my phone, or on Alexa","2","-","-","https://www.amazon.com/gp/customer-reviews/R2M79634J20T01/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B086VJN8RC","B086VJN8RC","Size: 1-Pack with 32G SD"
"Reviewed in the United States on February 21, 2021","Alexandra Cervantes","yes","-","Seems to be good!","Make sure you know how to setup via 2.4 ghz. Device will NOT work with 5ghz.","5","-","-","https://www.amazon.com/gp/customer-reviews/R4C5VT435TRGD/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B086VJN8RC","-","-"
"Reviewed in the United States on October 22, 2020","Brenda Harris","yes","-","Easy to set up; App hard to find as the name is not the same.","I like the fact the camera is simple to set up however the App has a different name and is hard to find.","5","-","-","https://www.amazon.com/gp/customer-reviews/R1ZVVAGYNVDAG7/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B086VJN8RC","-","-"
"Reviewed in the United States on August 4, 2020","Amazon Customer","yes","-","Easy to set up","Works as should!  Perfect for keeping an eye on the pets!","4","-","-","https://www.amazon.com/gp/customer-reviews/R2FHL5YQO6LT5Y/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B086VJN8RC","-","-"
"Reviewed in the United States on November 30, 2020","Katielle Anderson","yes","-","Its good to be safe.","We couldn't set up our second camera like the first one. That was a problem. Good thing the image is great.","4","-","-","https://www.amazon.com/gp/customer-reviews/R1Y0I7NS1YHMJS/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B086VJN8RC","-","-"
"Reviewed in the United States on August 4, 2020","Jason Gib","yes","-","Good camera","Good product. Mainly used to make sure my dog is ok when not home. Works good for that","4","-","-","https://www.amazon.com/gp/customer-reviews/R2OP1OD6XQRH8L/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B086VJN8RC","-","-"
"Reviewed in the United States on January 3, 2021","Buyer","yes","-","Great Exp","Bought 2 more cameras","5","-","-","https://www.amazon.com/gp/customer-reviews/RWTK27HFX1XH3/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B086VJN8RC","-","-"
"Reviewed in the United States on January 1, 2021","Olivia Madrigal","yes","-","Excellent","Excellent","5","-","-","https://www.amazon.com/gp/customer-reviews/R1V15FIAKOTVVJ/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B086VJN8RC","-","-"
"Reviewed in the United States on December 11, 2020","Daniel and Candy","yes","-","Easy and fun camera to use to protect your family","Your browser does not support HTML5 video.                         Works amazing audio and picture are perfect","5","-","https://images-na.ssl-images-amazon.com/images/I/A1qUMNw+-hS.mp4","https://www.amazon.com/gp/customer-reviews/R2FQ5DL8S1GJEP/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B086VJN8RC","-","-"
"Reviewed in the United States on November 28, 2020","Christian","yes","-","Good Value","Good value.","4","-","-","https://www.amazon.com/gp/customer-reviews/R2FF2D7NZK9UJB/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B086VJN8RC","-","-"
"Reviewed in the United States on November 13, 2020","Adrienne McCurdy","yes","-","Smile","This camera is phenomenal and so is the price!!","5","-","-","https://www.amazon.com/gp/customer-reviews/R252XWDA16LK0S/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B086VJN8RC","B086VJN8RC","Size: 1-Pack with 32G SD"
Platinum Plan or higher is required in order to access reviews beyond 100'.
